European Date,American Date,High,Low,Close,,,,,,,,,,,,,,
01/10/1928,10237,242.46,238.24,240.01,,,,,,,,,,,,,,
02/10/1928,10268,241.54,235.42,238.14,,,,,,,,,,,,,,
03/10/1928,10297,239.14,233.6,237.75,,,,,,,,,,,,,,
04/10/1928,10328,242.53,237.72,240,,,,,,,,,,,,,,
05/10/1928,10358,243.08,238.22,240.44,,,,,,,,,,,,,,
06/10/1928,10389,241.66,239.23,240.17,,,,,,,,,,,,,,
07/10/1928,,,,,,,,,,,,,,,,,,
08/10/1928,10450,243.33,237.72,239.55,,,,,,,,,,,,,,
09/10/1928,10481,242.86,236.79,241.73,,,,,,,,,,,,,,
10/10/1928,10/10/1928,249.06,241.57,246.53,,,,,,,,,,,,,,
11/10/1928,10/11/1928,250.14,245.57,247.69,,,,,,,,,,,,,,
12/10/1928,,,,,,,,,,,,,,,,,,
13/10/1928,10/13/1928,250.43,247.35,249.13,,,,,,,,,,,,,,
14/10/1928,,,,,,,,,,,,,,,,,,
15/10/1928,10/15/1928,252.7,247.33,249.85,,,,,,,,,,,,,,
16/10/1928,10/16/1928,255.27,247.92,249.43,,,,,,,,,,,,,,
17/10/1928,10/17/1928,253.6,247.74,250.87,,,,,,,,,,,,,,
18/10/1928,10/18/1928,255.24,249.65,251.88,,,,,,,,,,,,,,
19/10/1928,10/19/1928,259.19,250.35,256.59,,,,,,,,,,,,,,
20/10/1928,10/20/1928,257.75,252.58,253.75,,,,,,,,,,,,,,
21/10/1928,,,,,,,,,,,,,,,,,,
22/10/1928,10/22/1928,257.32,250.08,253.6,,,,,,,,,,,,,,
23/10/1928,10/23/1928,258.6,252.73,256.04,,,,,,,,,,,,,,
24/10/1928,10/24/1928,260.39,249.09,257.03,,,,,,,,,,,,,,
25/10/1928,10/25/1928,260.03,254.93,256.48,,,,,,,,,,,,,,
26/10/1928,10/26/1928,259.16,250,251.44,,,,,,,,,,,,,,
27/10/1928,10/27/1928,257.2,252.24,255.51,,,,,,,,,,,,,,
28/10/1928,,,,,,,,,,,,,,,,,,
29/10/1928,10/29/1928,259.76,255.03,257.13,,,,,,,,,,,,,,
30/10/1928,10/30/1928,259,252.39,253.7,,,,,,,,,,,,,,
31/10/1928,10/31/1928,256.16,248.76,252.16,,,,,,,,,,,,,,
01/11/1928,10238,256.59,251.56,255.23,,,,,,,,,,,,,,
02/11/1928,10269,256.99,252.46,254.38,,,,,,,,,,,,,,
03/11/1928,10298,255.33,253.29,254.16,,,,,,,,,,,,,,
04/11/1928,,,,,,,,,,,,,,,,,,
05/11/1928,11/05/1928,259.68,253.89,257.58,,,,,,,,,,,,,,
06/11/1928,,,,,,,,,,,,,,,,,,
07/11/1928,11/07/1928,263.97,258.48,260.68,,,,,,,,,,,,,,
08/11/1928,11/08/1928,265.26,258.96,261.11,,,,,,,,,,,,,,
09/11/1928,11/09/1928,266.24,259.37,263.05,,,,,,,,,,,,,,
10/11/1928,11/10/1928,266.74,262.9,265.58,,,,,,,,,,,,,,
11/11/1928,,,,,,,,,,,,,,,,,,
12/11/1928,11/12/1928,272.47,264.42,269.67,,,,,,,,,,,,,,
13/11/1928,11/13/1928,272.03,264.88,269.89,,,,,,,,,,,,,,
14/11/1928,11/14/1928,272.94,266.8,268.6,,,,,,,,,,,,,,
15/11/1928,11/15/1928,271.63,266.48,269.42,,,,,,,,,,,,,,
16/11/1928,11/16/1928,278.65,271.48,276.66,,,,,,,,,,,,,,
17/11/1928,11/17/1928,279.5,274.43,277.48,,,,,,,,,,,,,,
18/11/1928,,,,,,,,,,,,,,,,,,
19/11/1928,11/19/1928,280.68,272.98,278.78,,,,,,,,,,,,,,
20/11/1928,11/20/1928,288.13,278.05,283.9,,,,,,,,,,,,,,
21/11/1928,11/21/1928,288.71,276.91,280.53,,,,,,,,,,,,,,
22/11/1928,11/22/1928,292.12,281.28,290.34,,,,,,,,,,,,,,
23/11/1928,11/23/1928,295.17,284.4,288.22,,,,,,,,,,,,,,
24/11/1928,,,,,,,,,,,,,,,,,,
25/11/1928,,,,,,,,,,,,,,,,,,
26/11/1928,11/26/1928,296.1,288.14,291.16,,,,,,,,,,,,,,
27/11/1928,11/27/1928,294.75,289.28,292.39,,,,,,,,,,,,,,
28/11/1928,11/28/1928,299.35,290.68,295.62,,,,,,,,,,,,,,
29/11/1928,,,,,,,,,,,,,,,,,,
30/11/1928,11/30/1928,299.07,288.82,293.38,,,,,,,,,,,,,,
01/12/1928,12/01/1928,295.22,289.76,290.8,,,,,,,,,,,,,,
02/12/1928,,,,,,,,,,,,,,,,,,
03/12/1928,12/03/1928,291.05,283.89,289.23,,,,,,,,,,,,,,
04/12/1928,10330,295.61,287.61,291.3,,,,,,,,,,,,,,
05/12/1928,10360,294.2,289.91,290.68,,,,,,,,,,,,,,
06/12/1928,10391,292.56,278.66,279.79,,,,,,,,,,,,,,
07/12/1928,10421,284.44,269.58,271.05,,,,,,,,,,,,,,
08/12/1928,10452,270.32,255.02,257.33,,,,,,,,,,,,,,
09/12/1928,,,,,,,,,,,,,,,,,,
10/12/1928,10513,266.22,254.36,263.95,,,,,,,,,,,,,,
